rb,,pitanje,a,b,c,d
1,1,Koji je glavni grad Portugala ?,Lisabon,Braga,Porto,Vila Real
2,1,Koji je kemijski simbol za srebro ?,Ag,Au,P,Fe
3,1,Koja je najmanja ptica na svijetu?,Kolibri,Bumbar,Azijski kanarinac,Mrka crvenkapa(orodica vrabaca)
4,1," Što je lutka, Barbie, puno ime?",Barbara Millicent Roberts,Margaret Rawlins Roberts,Stacie Roberts ,Claude Fairchild
5,1, Za što se Paul Hunn drži rekorda koji je registrovan sa 118.1 decibela?,Podrig,Najviši c ton,Ton iz trube,Zvižduk
6,1,Koji je glumac osvojio oskara za najbolju mušku ulogu za filmove Philadelphia (1993) i Forrest Gump (1994)?,Tom Hanks,Samuel L. Jackson,Marlon Brando,Harrison Ford
7,1,Koje godine je Neil Armstrong sletio na Mjesec?,1969,1966,1965,1959
8,1,Koji je najve?i organ u ljudskom tijelu?,Koža,Utroba,Stomak,Plu?a
9,1,Koja je jedina planeta koja nije dobila ime po bogu?,Zemlja,Venera,Uran,Jupiter
10,1,DJ je skra?enica od?,Disk Jockey,Disk Jukebox,Dance Jockey,Dance Joker
11,1,Koja od ponu?enih država je najmanja na svijetu?,Vatikan,San Marino,Lihtenštajn,Makedonija
12,1,?arli ?aplin je po nacionalnosti bio?,Britanac,Amerikanac,Irac,Njemac
13,1,Koji je planet najbliži suncu?,Merkur,Mars,Venera,Saturn
14,1,Najve?i planet Sun?evog sistema je?,Jupoter,Saturn,Pluton,Venera
15,1,"Ako je katoli?ki Boži? u petak,na koji dan pada nova godina?",Petak,?etvrtak,Subota,Nedjelja
16,1,Šta vrijedi hiljadu rije?i?,Slika,Ideja,Jedna rije?,Pjesma
17,1,Gdje je sjediste OUN-a?,New York,Chicago,Washington,Bruxelles
18,1,Koliko perioda ima hokejaska utakmica?,3,2,4,5
19,1,Izvor vrele podzemne vode zove se?,Gejzir,Vizir,Vezir,Vodoskok
20,1,Šta je papaja?,Tropska biljka,Vrsta majmuna,Indijanski ?amac,Indijanski lijek
21,1,Kao izolator toplote me?u stjenkama termos boce koristi se?,Vakum,Živa,Staklena vuna,Pijesak
22,1,Kako se zove mala ta?ka na monitoru ra?inara?,Pixel,Foton,Font,Fixel
23,1,Koliko igra?a ima u vaterpolo ekipi ?,7,6,5,9
24,1,Gdje je izložena Mona Lisa Leonarda da Vincija?,Pariz,Rim,London,Barcelona
25,1,Koje godine je završio prvi svjetski rat?,1918,1910,1919,1915
26,1,Koje godine je završio drugi svjetski rat?,1945,1939,1944,1943
27,1, Kako se zove prva epizoda serije Game Of Thrones ?,Winter Is Coming,The North Remembers,Valar Dohaeris,Two Swords
28,1,Koje godine objavljen prvi film Iron Man koji je zapo?eo Marvel Cinematic Universe?,2008,2010,2006,2000
29,1,Od ?ega je napravljen štit kapetana Amerike?,Vibranij,Adamantium,Prometij,Karbonadij
